State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Date Local,Units of Measure,Event Type,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,Method Code,Method Name,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/26/2018,Parts per million,None,12,50,0.145917,0.161,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/27/2018,Parts per million,None,24,100,0.142583,0.163,8,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/28/2018,Parts per million,None,22,92,0.144818,0.182,23,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/29/2018,Parts per million,None,24,100,0.152917,0.187,1,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/30/2018,Parts per million,None,21,88,0.142762,0.155,23,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,1/31/2018,Parts per million,None,24,100,0.150583,0.157,15,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/1/2018,Parts per million,None,22,92,0.142273,0.15,17,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/2/2018,Parts per million,None,24,100,0.137458,0.151,9,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/3/2018,Parts per million,None,22,92,0.140909,0.152,18,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/4/2018,Parts per million,None,24,100,0.143,0.162,9,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/5/2018,Parts per million,None,22,92,0.146364,0.164,17,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/6/2018,Parts per million,None,23,96,0.171174,0.235,22,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/7/2018,Parts per million,None,22,92,0.182227,0.231,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/8/2018,Parts per million,None,24,100,0.156167,0.168,23,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/9/2018,Parts per million,None,21,88,0.20119,0.31,19,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/10/2018,Parts per million,None,24,100,0.208042,0.259,19,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/11/2018,Parts per million,None,22,92,0.169864,0.255,6,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/12/2018,Parts per million,None,24,100,0.192792,0.299,21,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/13/2018,Parts per million,None,21,88,0.182095,0.201,7,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/14/2018,Parts per million,None,24,100,0.182875,0.198,1,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
17,19,1001,42101,1,40.05278,-88.37251,WGS84,Carbon monoxide,1 HOUR,CO 1-hour 1971,2/15/2018,Parts per million,None,22,92,0.157,0.196,20,,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,ISWS CLIMATE STATION,TWP RD 500 E.,Illinois,Champaign,Not in a city,"Champaign-Urbana, IL",3/1/2019
